timestamp,run_id,phase,model,config_hash,dataset,split,seed,epochs,imgsz,batch,num_images,map50,map50_95,ap_D00,ap_D10,ap_D20,ap_D40,precision,recall,f1,latency_ms,fps,param_count,trainable_param_count,train_runtime_sec,eval_runtime_sec,hardware,weights_path,notes
2026-08-31T07:47:23,faster_rcnn_source_eval_on_china_motorbike,4,faster_rcnn_resnet50_fpn,abcad4b3ba2b,china_motorbike,all,42,,,,1500,0.2698,0.1015,0.2138,0.3491,0.4814,0.0348,0.243,0.4463,0.3147,,,41367656,41367656,,99.8,x86_64 | CUDA:Tesla T4,experiments/runs/faster_rcnn_source/best.pt,"Phase 4 zero-shot eval (zero-shot) on china_motorbike -- SEEDED RANDOM SUBSAMPLE of 1500 images (seed=42), not the full set"
2026-08-31T12:25:31,yolov8n_ablation_resolution-960,5-smoke,yolov8n,de4d6bf5a6cc,source_subset,test,42,2,960,16,100,0.0106,0.0034,0.0001,0.0,0.0423,0.0,0.0,0.0,0.0,56.64,17.66,3011628,0,486.0,8.45,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolov8n_ablation_resolution-960\weights\best.pt,PIPELINE SMOKE TEST - not a reportable result
2026-09-07T15:42:06,yolo26n_smoke,3a-smoke,yolo26n,826dbb522829,source_subset,test,42,2,640,8,100,0.0103,0.0026,0.0,0.0,0.0411,0.0,0.0,0.0,0.0,58.26,17.17,2505360,0,242.0,8.73,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolo26n_smoke\weights\best.pt,PIPELINE SMOKE TEST - not a reportable result
2026-09-10T13:31:11,yolo26n_source,3a,yolo26n,8d3939078f40,source,test,42,100,640,8,2732,0.4859,0.2126,0.4128,0.4167,0.6492,0.4651,0.5945,0.4707,0.5254,21.8,45.87,2505360,0,3541.5,32.03,x86_64 | CUDA:Tesla T4,experiments/runs/yolo26n_source/weights/best.pt,Phase 3a plain YOLO26n baseline
2026-09-10T21:05:50,yolo26_source_eval_on_source,4-smoke,yolo26n,8d3939078f40,source,test,42,,,,30,0.3523,0.2111,0.1462,0.0,0.756,0.5071,0.4286,0.4286,0.4286,,,2505360,0,,7.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolo26n_source\weights\best.pt,PIPELINE SMOKE TEST - not a reportable result
2026-09-10T21:05:53,yolo26_source_eval_on_czech,4-smoke,yolo26n,8d3939078f40,czech,all,42,,,,30,0.2078,0.0711,0.0741,0.2571,0.0,0.5,0.3333,0.0833,0.1333,,,2505360,0,,3.2,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolo26n_source\weights\best.pt,PIPELINE SMOKE TEST - not a reportable result
2026-09-10T21:06:00,yolo26_source_eval_on_norway,4-smoke,yolo26n,8d3939078f40,norway,all,42,,,,30,0.1267,0.0658,0.0188,0.0,0.486,0.0018,0.3333,0.0435,0.0769,,,2505360,0,,6.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolo26n_source\weights\best.pt,PIPELINE SMOKE TEST - not a reportable result
2026-09-10T21:06:03,yolo26_source_eval_on_us,4-smoke,yolo26n,8d3939078f40,us,all,42,,,,30,0.6243,0.3789,0.6653,0.4529,0.7548,0.0,0.5902,0.5,0.5414,,,2505360,0,,3.5,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolo26n_source\weights\best.pt,PIPELINE SMOKE TEST - not a reportable result
2026-09-10T21:06:06,yolo26_source_eval_on_china_motorbike,4-smoke,yolo26n,8d3939078f40,china_motorbike,all,42,,,,30,0.1412,0.0412,0.0861,0.1701,0.2084,0.1,0.3571,0.0676,0.1136,,,2505360,0,,3.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolo26n_source\weights\best.pt,PIPELINE SMOKE TEST - not a reportable result
2026-09-10T21:15:15,yolo26_source_eval_on_source,4,yolo26n,8d3939078f40,source,test,42,,,,2732,0.4859,0.2126,0.4128,0.4167,0.6492,0.4651,0.5945,0.4707,0.5254,,,2505360,0,,487.7,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolo26n_source\weights\best.pt,Phase 4 zero-shot eval (in-domain) on source
